AB型	AB型 🆎
天蠍座	天蠍座 ♏️
天鵝	天鵝 🦢
太子	太子 🤴🏻
太極	太極 ☯️
太空人	太空人 👩🏻‍🚀 👨🏻‍🚀
太陰	太陰 🌝 🌚 🌕 🌙
太陽	太陽 🌞 ☀️
太陽帽	太陽帽 🧢
太陽鏡	太陽鏡 🕶️
太陽雨	太陽雨 🌦
央求	央求 🥺
失戀	失戀 💔
失望	失望 ☹️
失聰	失聰 🧏🏻‍♀️ 🧏🏻‍♂️
失聰女	失聰女 🧏🏻‍♀️
失聰男	失聰男 🧏🏻‍♂️
夾鉗	夾鉗 🗜
奇異果	奇異果 🥝
奔馬	奔馬 🐎
套娃	套娃 🪆
奧地利	奧地利 🇦🇹
奧姆	奧姆 🕉
奧蘭羣島	奧蘭羣島 🇦🇽
奪冠	奪冠 🏆
女	女 👩🏻 👩
女人	女人 👩🏻 👩
女仙人	女仙人 🧚🏻‍♀️
女仙子	女仙子 🧚🏻‍♀️
女修理工	女修理工 👩🏻‍🔧
女偵探	女偵探 🕵️‍♀️
女光頭	女光頭 👩🏻‍🦲
女兒節	女兒節 🎎
女反派	女反派 🦹🏻‍♀️
女同	女同 👩‍❤️‍👩
女同性戀	女同性戀 👩‍❤️‍👩
女吸血鬼	女吸血鬼 🧛🏻‍♀️
女員工	女員工 👩🏻‍💼
女太空人	女太空人 👩🏻‍🚀
女子	女子 👩🏻 👩
女孩	女孩 👧🏻
女學生	女學生 👩🏻‍🎓
女宇航員	女宇航員 👩🏻‍🚀
女守衛	女守衛 💂🏻‍♀️
女工人	女工人 👩🏻‍🏭
女巫	女巫 🧙🏻‍♀️
女差人	女差人 👮🏻‍♀️
女帽	女帽 👒
女廚師	女廚師 👩🏻‍🍳
女建築工	女建築工 👷🏻‍♀️
女建築工人	女建築工人 👷🏻‍♀️
女性	女性 🚺
女技工	女技工 👩🏻‍🔧
女探長	女探長 🕵️‍♀️
女教師	女教師 👩🏻‍🏫
女機械工	女機械工 👩🏻‍🔧
女機長	女機長 👩🏻‍✈️
女歌手	女歌手 👩🏻‍🎤
女殭屍	女殭屍 🧟‍♀️
女法官	女法官 👩🏻‍⚖️
女法師	女法師 🧙🏻‍♀️
女消防員	女消防員 👩🏻‍🚒
女燈神	女燈神 🧞‍♀️
女生	女生 👩🏻 👩
女畫家	女畫家 👩🏻‍🎨
女盲人	女盲人 👩🏻‍🦯 👩🏻‍🦯‍➡️
女神探	女神探 🕵️‍♀️
女科學家	女科學家 👩🏻‍🔬
女童	女童 👧🏻
女精靈	女精靈 🧝🏻‍♀️
女老師	女老師 👩🏻‍🏫
女職員	女職員 👩🏻‍💼
女舞蹈家	女舞蹈家 💃🏻
女航天員	女航天員 👩🏻‍🚀
女英雄	女英雄 🦸🏻‍♀️
女藝人	女藝人 👩🏻‍🎤
女藝術家	女藝術家 👩🏻‍🎨
女行人	女行人 🚶🏻‍♀️ 🚶🏻‍♀️‍➡️
女衛兵	女衛兵 💂🏻‍♀️
女裝	女裝 👚
女警察	女警察 👮🏻‍♀️
女護士	女護士 👩🏻‍⚕️
女超級英雄	女超級英雄 🦸🏻‍♀️
女路人	女路人 🚶🏻‍♀️ 🚶🏻‍♀️‍➡️
女農民	女農民 👩🏻‍🌾
女醫生	女醫生 👩🏻‍⚕️
女醫護	女醫護 👩🏻‍⚕️
女醫護人員	女醫護人員 👩🏻‍⚕️
女阿拉丁燈神	女阿拉丁燈神 🧞‍♀️
女鞋	女鞋 👠
女飛行員	女飛行員 👩🏻‍✈️
女魔法師	女魔法師 🧙🏻‍♀️
奶	奶 🥛
奶樽	奶樽 🍼
奶油	奶油 🧈
奶牛	奶牛 🐄
奶茶	奶茶 🧋
奶酪	奶酪 🧀
奶酪火鍋	奶酪火鍋 🫕
奶黃	奶黃 🍮
奸笑	奸笑 😏
奸笑貓	奸笑貓 😼
好	好 👌 🆗 🆒
好凍	好凍 🥶
好叻	好叻 👍
好味	好味 😋
好喫	好喫 😋
好嘢	好嘢 🤩 👏 ✌️
好好味	好好味 😋
好好喫	好好喫 😋
好好食	好好食 😋
好嬲	好嬲 😠 😡
好惱	好惱 😠 😡
好抵力	好抵力 😮‍💨
好攰	好攰 😮‍💨
好核突	好核突 🤢 🤮
好熱	好熱 🥵
好癐	好癐 😮‍💨
好笑	好笑 😄 😆
好辣	好辣 🥵
好開心	好開心 🤩
好食	好食 😋
妊娠	妊娠 🤰🏻
妊娠人士	妊娠人士 🫄
妊娠男	妊娠男 🫃
姊妹	姊妹 👭🏻
姐妹	姐妹 👭🏻
姑娘	姑娘 👩🏻‍⚕️
姓名卡	姓名卡 📛
姓名咭	姓名咭 📛
姓名牌	姓名牌 📛
委內瑞拉	委內瑞拉 🇻🇪
委屈	委屈 🥹 🥺
威爾士	威爾士 🏴󠁧󠁢󠁷󠁬󠁳󠁿
婆婆	婆婆 👵🏻
婆羅多	婆羅多 🇮🇳
婚禮教堂	婚禮教堂 💒
婚紗	婚紗 👰🏻‍♀️ 👰‍♀️
婚紗男	婚紗男 👰‍♂️
媽	媽 👩🏻
媽咪	媽咪 👩🏻
媽媽	媽媽 👩🏻
嫲嫲	嫲嫲 👵🏻
嬰兒	嬰兒 👶🏻 🚼
嬰兒天使	嬰兒天使 👼🏻
嬲	嬲 😤 😠 😡
嬲嬲	嬲嬲 ☹️
嬲爆	嬲爆 😡
嬲爆爆	嬲爆爆 😡
子彈列車	子彈列車 🚅
子彈頭列車	子彈頭列車 🚅
孔雀	孔雀 🦚
孔雀開屏	孔雀開屏 🦚
孕婦	孕婦 🤰🏻
字母	字母 🔤
字母輸入	字母輸入 🔤
存檔盒	存檔盒 🗃
孟加拉	孟加拉 🇧🇩
孟加拉國	孟加拉國 🇧🇩
季軍	季軍 🥉
孩子	孩子 👧🏻 👦🏻
孩童	孩童 👧🏻 👦🏻
學士帽	學士帽 🎓
學校	學校 🏫
學生	學生 👩🏻‍🎓 👨🏻‍🎓
宇航員	宇航員 👩🏻‍🚀 👨🏻‍🚀
守衛	守衛 💂🏻‍♀️ 💂🏻 💂🏻‍♂️
安全帽	安全帽 ⛑️
安南	安南 🇻🇳
安哥拉	安哥拉 🇦🇴
安圭拉	安圭拉 🇦🇮
安提瓜及巴布達	安提瓜及巴布達 🇦🇬
安道爾	安道爾 🇦🇩
完全同意	完全同意 💯
完全正確	完全正確 💯
定位	定位 📍
定時	定時 ⏲
定時器	定時器 ⏲
客棧	客棧 🏨
客輪	客輪 🛳
室女座	室女座 ♍️
家庭成員	家庭成員 🧑‍🧑‍🧒 🧑‍🧑‍🧒‍🧒 🧑‍🧒 🧑‍🧒‍🧒
寄生蟲	寄生蟲 🪱
密克羅尼西亞	密克羅尼西亞 🇫🇲
富士山	富士山 🗻
實驗服	實驗服 🥼
實驗袍	實驗袍 🥼
寫	寫 ✍️
寫字	寫字 ✍️
寮國	寮國 🇱🇦
封包	封包 🧧
封口	封口 🤐
封裝	封裝 📦
射	射 🏹
射手座	射手座 ♐️
射箭	射箭 🏹
對	對 ✅ ✔️
對局	對局 🆚
對戰	對戰 🆚
對抗	對抗 🆚
對決	對決 🆚
對白	對白 💬
對話	對話 💬
對陣	對陣 🆚
導盲犬	導盲犬 🦮
導盲狗	導盲狗 🦮
小丑	小丑 🤡
小型飛機	小型飛機 🛩
小孩	小孩 👧🏻 👦🏻
小寫字母	小寫字母 🔡
小提琴	小提琴 🎻
小朋友	小朋友 👧🏻 👦🏻
小白鼠	小白鼠 🐁
小精靈	小精靈 👾
小號	小號 🎺
小轎車	小轎車 🚗 🚘
小雨	小雨 🌦
小黑子	小黑子 ⚫️
少兒不宜	少兒不宜 🔞
少雲	少雲 🌤
尷尬	尷尬 😅 😓
尺	尺 📏
尼加拉瓜	尼加拉瓜 🇳🇮
尼日利亞	尼日利亞 🇳🇬
尼日爾	尼日爾 🇳🇪
尼泊爾	尼泊爾 🇳🇵
居酒屋	居酒屋 🏮
居酒屋燈籠	居酒屋燈籠 🏮
屋	屋 🏠
屋企	屋企 🏠
屌你	屌你 🖕
屎	屎 💩
山	山 ⛰
山區火車	山區火車 🚞
山地單車	山地單車 🚵
山地單車女	山地單車女 🚵‍♀️
山地單車男	山地單車男 🚵‍♂️
山地車	山地車 🚵
山地車女	山地車女 🚵‍♀️
山地車男	山地車男 🚵‍♂️
山域治	山域治 🥪
山峯	山峯 ⛰
山嶺	山嶺 ⛰
山羊	山羊 🐐
山間日出	山間日出 🌄
山頂纜車	山頂纜車 🚠
岌頭	岌頭 🙂‍↕️
岡比亞	岡比亞 🇬🇲
岩石	岩石 🪨
峨眉月	峨眉月 🌒
島	島 🏝
嶺	嶺 ⛰
工人	工人 👩🏻‍🏭 👨🏻‍🏭
工具箱	工具箱 🧰
工廠	工廠 🏭
工業區	工業區 🏭
工程師	工程師 👩🏻‍💻 👨🏻‍💻
左	左 👈
左上	左上 ↖️
左上箭頭	左上箭頭 ↖️
左下	左下 ↙️
左下箭頭	左下箭頭 ↙️
左右	左右 ↔️
左右箭頭	左右箭頭 ↔️
左拳	左拳 🤜
左指	左指 👈
左箭頭	左箭頭 ⬅️
左邊	左邊 👈
左面	左面 👈
巨無霸	巨無霸 🍔
巨石	巨石 🗿
巨石像	巨石像 🗿
巨蟹座	巨蟹座 ♋️
巨魔	巨魔 🧌
巫師	巫師 🧙🏻‍♀️ 🧙🏻‍♂️
差人	差人 👮🏻‍♀️ 👮🏻‍♂️
差佬	差佬 👮🏻‍♂️
差婆	差婆 👮🏻‍♀️
巴勒斯坦	巴勒斯坦 🇵🇸
巴哈馬	巴哈馬 🇧🇸
巴基斯坦	巴基斯坦 🇵🇰
巴士	巴士 🚌 🚍
巴士站	巴士站 🚏
巴巴多斯	巴巴多斯 🇧🇧
巴布亞新幾內亞	巴布亞新幾內亞 🇵🇬
巴拉圭	巴拉圭 🇵🇾
巴拿馬	巴拿馬 🇵🇦
巴林	巴林 🇧🇭
巴西	巴西 🇧🇷
布基納法索	布基納法索 🇧🇫
布隆迪	布隆迪 🇧🇮
帆船	帆船 ⛵️
希臘	希臘 🇬🇷
帕勞	帕勞 🇵🇼
帳戶	帳戶 🆔
帳篷	帳篷 🏕 ⛺️
帳號	帳號 🆔
常綠喬木	常綠喬木 🌲
常青樹	常青樹 🌲
帽	帽 🎩 🧢 👒
幣	幣 🪙
平底杯	平底杯 🥃
平底鞋	平底鞋 🥿
幸運曲奇	幸運曲奇 🥠
幸運草	幸運草 🍀
幸運餅乾	幸運餅乾 🥠
幼苗	幼苗 🌱
幽靈	幽靈 👻
幾內亞	幾內亞 🇬🇳
幾內亞比紹	幾內亞比紹 🇬🇼
底褲	底褲 🩲
座位	座位 💺
座標	座標 📍
庫克羣島	庫克羣島 🇨🇰
庫拉索	庫拉索 🇨🇼
廁所	廁所 🚽 🚾 🚻
廚師	廚師 👩🏻‍🍳 👨🏻‍🍳
廢棄房屋	廢棄房屋 🏚
廢紙簍	廢紙簍 🗑
建築工	建築工 👷🏻‍♀️ 👷🏻‍♂️
建築工人	建築工人 👷🏻‍♀️ 👷🏻‍♂️
建築施工	建築施工 🏗
建設	建設 🏗
弓箭	弓箭 🏹
弦月	弦月 🌛 🌜 🌗 🌓
張口	張口 😮
張嘴	張嘴 😮
強壯	強壯 💪
彈出	彈出 ⏏️
彎月	彎月 🌙
彗星	彗星 ☄️
彘	彘 🐷 🐖
彩色碎紙	彩色碎紙 🎊
彩虹	彩虹 🌈
彩虹旗	彩虹旗 🏳️‍🌈
影相	影相 📷
影相機	影相機 📷
後退	後退 ⏪
得	得 👌 🉐 🆗
得意	得意 😊 🐶 💠
得意洋洋	得意洋洋 😉 🤗
復活節島	復活節島 🗿
循環	循環 🔁
微微不滿	微微不滿 🙁
微微皺眉	微微皺眉 🙁
微笑	微笑 🙂️
微笑貓	微笑貓 😸
德	德 🇩🇪
德國	德國 🇩🇪
德意志	德意志 🇩🇪
心	心 🫶 🫀 ❤️ 💖
心中箭	心中箭 💘
心傷	心傷 ❤️‍🩹
心動	心動 💓 💗
心形	心形 🫶 ❤️ 💟
心形裝飾	心形裝飾 💟
心心	心心 😍 💕 💞
心心心	心心心 🥰
心心相印	心心相印 💕 💞
心心眼	心心眼 😍
心水	心水 🥰 😍
心滿意足	心滿意足 🥰
心火	心火 ❤️‍🔥
心田	心田 💟
心碎	心碎 💔
心臟	心臟 🫀
心跳	心跳 💓 💗
心間	心間 💟
忍受	忍受 😣
忍淚	忍淚 🥹
忍者	忍者 🥷🏻
快進	快進 ⏩
念珠	念珠 📿
怒	怒 😤 😠
思考	思考 🧐 🤔
思考雲	思考雲 💭
急救車	急救車 🚑
怪獸	怪獸 👾
恐怖	恐怖 😱
恐懼	恐懼 😱
恐懼貓	恐懼貓 🙀
恐龍	恐龍 🦖 🦕
恭喜	恭喜 🎊 🎉
恭祝	恭祝 🎊 🎉 ㊗️
悲傷	悲傷 😭
情侶	情侶 👩🏻‍❤️‍👨🏻
情侶旅館	情侶旅館 🏩
情信	情信 💌
情書	情書 💌
惟利是圖	惟利是圖 🤑
惡人	惡人 🦹🏻‍♀️ 🦹🏻‍♂️
惡頂	惡頂 😖 😫 😩
惡鬼	惡鬼 👹 👺
惡魔	惡魔 😈 👿
惡魔之眼	惡魔之眼 🧿 🪬
惱	惱 😤 😠 😡
惱惱	惱惱 ☹️
惱爆	惱爆 😡
惱爆爆	惱爆爆 😡
想像	想像 💭
想像雲	想像雲 💭
想哭	想哭 🥹
想喊	想喊 🥹
想喫	想喫 😋
想嘔	想嘔 🤢
想嘔咁滯	想嘔咁滯 🤢
想要	想要 😍
想食	想食 😋
意	意 🇮🇹
意大利	意大利 🇮🇹
意大利手勢	意大利手勢 🤌
意大利薄餅	意大利薄餅 🍕
意大利餡餅	意大利餡餅 🍕
意大利麪	意大利麪 🍝
意粉	意粉 🍝
意麪	意麪 🍝
愕然	愕然 😳 😯
愛你	愛你 🤟
愛你手勢	愛你手勢 🤟
愛心	愛心 🫶 ❤️ 💟
愛心手勢	愛心手勢 🫶
愛心禮物	愛心禮物 💝
愛情旅館	愛情旅館 🏩
愛沙尼亞	愛沙尼亞 🇪🇪
愛爾蘭	愛爾蘭 🇮🇪
感動	感動 🥹
感嘆號	感嘆號 ❗️ ❕
感謝	感謝 🙏
慘	慘 😦
慶典	慶典 🎊
慶祝	慶祝 🎊 🎉 ㊗️
憂傷	憂傷 😔
憂慮	憂慮 😔 😟
憂鬱	憂鬱 ☹️
憤怒	憤怒 😠 😡 💢
憤怒發言	憤怒發言 🗯
憤怒貓	憤怒貓 😾
懇求	懇求 🥺 🙏
懷孕	懷孕 🤰🏻
懷孕男	懷孕男 🫃
懷抱	懷抱 🤗
懸浮	懸浮 🕴️
懸浮列車	懸浮列車 🚟
戀人	戀人 👩🏻‍❤️‍👨🏻
戀愛旅館	戀愛旅館 🏩
成人內容	成人內容 🔞
成人及兒童	成人及兒童 🧑‍🧑‍🧒 🧑‍🧑‍🧒‍🧒 🧑‍🧒 🧑‍🧒‍🧒
戒指	戒指 💍
戲	戲 🎦
戲院	戲院 🎦
戴口罩	戴口罩 😷
戴帽	戴帽 🤠
戴眼鏡	戴眼鏡 🤓
戴頭巾	戴頭巾 👳🏻‍♀️ 👳🏻‍♂️ 🧕🏻
戶	戶 🪟
所羅門羣島	所羅門羣島 🇸🇧
扁食	扁食 🥟
扇	扇 🪭
扇貝	扇貝 🐚
手勢一	手勢一 ☝️
手勢二	手勢二 ✌️
手勢五	手勢五 🖐️
手勢六	手勢六 🤙
手向右	手向右 🫱
手向左	手向左 🫲
手套	手套 🧤
手寫	手寫 ✍️
手拖手	手拖手 👫🏻 👭🏻 👬🏻
手指	手指 🫵
手指指	手指指 🫵
手提包	手提包 👜
手提電腦	手提電腦 💻
手提電話	手提電話 📱
手杖	手杖 🦯
手槍	手槍 🔫
手機	手機 📱
手牽手	手牽手 👫🏻 👭🏻 👬🏻
手球	手球 🤾
手球女	手球女 🤾‍♀️
手球男	手球男 🤾‍♂️
手背	手背 🤚
手銃	手銃 🔫
手鋸	手鋸 🪚
手錶	手錶 ⌚️
手電筒	手電筒 🔦
手風琴	手風琴 🪗
打乞嗤	打乞嗤 🤧
打印	打印 🖨
打印機	打印機 🖨
打招呼	打招呼 👋 🙋🏻‍♀️ 🙋🏻‍♂️
打拳	打拳 👊 🤛 🤜 🥊
打撲克	打撲克 🃏
打波	打波 🏀 ⛹️
打牌	打牌 🃏
打籃球	打籃球 ⛹️
打邊爐	打邊爐 🫕 🍲
打針	打針 💉
打電話	打電話 🤙
打鼓	打鼓 🥁
托克勞	托克勞 🇹🇰
扮鬼面	扮鬼面 😜
扳手	扳手 🔧
批	批 🥧
承認	承認 ☺️
技工	技工 👩🏻‍🔧 👨🏻‍🔧
抌垃圾	抌垃圾 🚮
投票	投票 🗳
投票箱	投票箱 🗳
投降	投降 🏳️
抗拒	抗拒 🥴
披薩	披薩 🍕
抵力	抵力 😮‍💨
拇指	拇指 👍
拇指向下	拇指向下 👎
拉丁十字	拉丁十字 ✝️
拉拉	拉拉 👩‍❤️‍👩
拉脫維亞	拉脫維亞 🇱🇻
拉鍊	拉鍊 🤐
拐杖	拐杖 🩼
拒絕	拒絕 ❌ ⛔️ 🚫
拒馬	拒馬 🚧
拖手	拖手 👫🏻 👭🏻 👬🏻
拖拉機	拖拉機 🚜
拖鞋	拖鞋 🩴
招呼	招呼 👋 🙋🏻‍♀️ 🙋🏻‍♂️
招手	招手 🙋🏻‍♀️ 🙋🏻‍♂️
拜拜	拜拜 👋
拮針	拮針 💉
拳	拳 ✊ 👊 🤛 🤜
拳擊	拳擊 👊 🤛 🤜 🥊
拳頭	拳頭 ✊ 👊 🤛 🤜
拼圖	拼圖 🧩
指	指 🈯️
指上	指上 👆
指下	指下 👇
指南針	指南針 🧭
指右	指右 👉
指定席	指定席 🈯️
指左	指左 👈
指數	指數 🈯️
指環	指環 💍
指示	指示 👉
按摩	按摩 💆🏻‍♀️ 💆🏻‍♂️
挎包	挎包 👜
挪威	挪威 🇳🇴
振動	振動 📳
捏	捏 🤌 🤏
捕鼠器	捕鼠器 🪤
捲曲環	捲曲環 ➰
捲髮	捲髮 👩🏻‍🦱
捲髮女	捲髮女 👩🏻‍🦱
捲髮男	捲髮男 👨🏻‍🦱
捷克	捷克 🇨🇿
捹頭	捹頭 🙂‍↔️
掂	掂 👍 👌 🆗
掃帚	掃帚 🧹
掃把	掃把 🧹
掌聲	掌聲 👏
排球	排球 🏐
掛曆	掛曆 🗓
探熱	探熱 🤒
探熱針	探熱針 🌡
探長	探長 🕵️‍♀️ 🕵️‍♂️
控制旋鈕	控制旋鈕 🎛
推出	推出 ⏏️
提子	提子 🍇
提款機	提款機 🏧
提琴	提琴 🎻
插頭	插頭 🔌
揚手	揚手 🙌
揚聲器	揚聲器 🔈
揞口	揞口 🫢
揞嘴	揞嘴 🫢
揞面	揞面 🤦🏻‍♀️ 🤦🏻‍♂️
揞面女	揞面女 🤦🏻‍♀️
揞面男	揞面男 🤦🏻‍♂️
握手	握手 🤝
揮手	揮手 👋
搏擊	搏擊 🥊
搖滾手勢	搖滾手勢 🤘
搖頭	搖頭 🙂‍↔️
搜尋	搜尋 🔍
搜索	搜索 🔍
搭昇降機	搭昇降機 🛗
搭電梯	搭電梯 🛗
搭𨋢	搭𨋢 🛗
摔角	摔角 🤼
摔角女	摔角女 🤼‍♀️
摔角男	摔角男 🤼‍♂️
摩天輪	摩天輪 🎡
摩托	摩托 🏍
摩托艇	摩托艇 🛥
摩托車	摩托車 🏍
摩洛哥	摩洛哥 🇲🇦
摩爾多瓦	摩爾多瓦 🇲🇩
摩納哥	摩納哥 🇲🇨
摩羯座	摩羯座 ♑️
摺扇	摺扇 🪭
撐船	撐船 🚣
撐船女	撐船女 🚣‍♀️
撐船男	撐船男 🚣‍♂️
撐艇	撐艇 🚣
撐艇女	撐艇女 🚣‍♀️
撐艇男	撐艇男 🚣‍♂️
撣指	撣指 🤞
撲克	撲克 🃏
撳鐘	撳鐘 🛎
擁抱	擁抱 🤗 🫂
擂鼓	擂鼓 🥁
擊劍	擊劍 🤺
擊鼓	擊鼓 🥁
操縱桿	操縱桿 🕹
擔心	擔心 😟
擔憂	擔憂 😔 😟
擔遮	擔遮 🌂 ☔️ ☂️
擘口	擘口 😮
擘嘴	擘嘴 😮
擰頭	擰頭 🙂‍↔️
擴音器	擴音器 📣 📢
攀巖	攀巖 🧗‍♀️ 🧗 🧗‍♂️
攀巖女	攀巖女 🧗‍♀️
攀巖男	攀巖男 🧗‍♂️
攝像	攝像 📹 🎥
攝像機	攝像機 🎥
攝影機	攝影機 🎥
攝石	攝石 🧲
攝錄	攝錄 📹 🎥
攝錄機	攝錄機 🎥
攤手	攤手 🤷🏻‍♀️ 🤷 🤷🏻‍♂️
攤手女	攤手女 🤷🏻‍♀️
攤手男	攤手男 🤷🏻‍♂️
攬攬	攬攬 🤗 🫂
攰	攰 😮‍💨
收件箱	收件箱 📥
收信	收信 📩 📥
收信箱	收信箱 📥
收據	收據 🧾
收聲	收聲 🤐
收音機	收音機 📻
放大鏡	放大鏡 🔍 🔎
放映機	放映機 📽
放紙鷂	放紙鷂 🪁
放風箏	放風箏 🪁
放鬆	放鬆 😌
放鷂	放鷂 🪁
救命	救命 🆘
救生圈	救生圈 🛟
救生服	救生服 🦺
救生衣	救生衣 🦺
救護車	救護車 🚑
敘利亞	敘利亞 🇸🇾
教學	教學 👩🏻‍🏫 👨🏻‍🏫
教師	教師 👩🏻‍🏫 👨🏻‍🏫
教書	教書 👩🏻‍🏫 👨🏻‍🏫
敬禮	敬禮 🫡
敲鼓	敲鼓 🥁
數字輸入	數字輸入 🔢
數字鍵	數字鍵 🔢
數簿	數簿 📒
文件夾	文件夾 📁 📂 🗂
文件櫃	文件櫃 🗄
文萊	文萊 🇧🇳
斐濟	斐濟 🇫🇯
斑馬	斑馬 🦓
斟杯水	斟杯水 🫗
斟水	斟水 🫗
斧	斧 🪓
斧頭	斧頭 🪓
斯威士蘭	斯威士蘭 🇸🇿
斯洛伐克	斯洛伐克 🇸🇰
斯洛文尼亞	斯洛文尼亞 🇸🇮
斯里蘭卡	斯里蘭卡 🇱🇰
新	新 🆕
新加坡	新加坡 🇸🇬
新喀里多尼亞	新喀里多尼亞 🇳🇨
新娘	新娘 👰🏻‍♀️ 👰‍♀️
新婦	新婦 👰🏻‍♀️ 👰‍♀️
新幹線	新幹線 🚅
新手	新手 🔰
新月	新月 🌙
新西蘭	新西蘭 🇳🇿
斷鏈	斷鏈 ⛓️‍💥
方塊	方塊 ♦️
方磚	方磚 ♦️
施工	施工 🚧
旅館	旅館 🏨
旋轉木馬	旋轉木馬 🎠
日	日 🌞 ☀️ 🇯🇵
日元	日元 💴
日出	日出 🌅 🌄
日式便當	日式便當 🍱
日式城堡	日式城堡 🏯
日式建築	日式建築 🏯
日式郵局	日式郵局 🏣
日文此處	日文此處 🈁
日曆	日曆 🗓 📆 📅
日本	日本 🗾 🇯🇵
日本交叉旗	日本交叉旗 🎌
日本國	日本國 🇯🇵
日本地圖	日本地圖 🗾
日本城堡	日本城堡 🏯
日本女兒節	日本女兒節 🎎
日本建築	日本建築 🏯
日本服務標誌	日本服務標誌 🈂️
日本清酒	日本清酒 🍶
日本白花	日本白花 💮
日本神社	日本神社 ⛩
日本糰子	日本糰子 🍡
日本郵局	日本郵局 🏣
日語此處	日語此處 🈁
日頭	日頭 🌞 ☀️
昇	昇 📈
昇降機	昇降機 🛗
星	星 ⭐️ 🌟 ✨
星光	星光 🌟 ✨
星光熠熠	星光熠熠 🌟
星島	星島 🇸🇬
星形	星形 ⭐️
星星	星星 ⭐️ 🌟 ✨
星星眼	星星眼 🤩
星月符號	星月符號 ☪️
星架坡	星架坡 🇸🇬
星河	星河 🌌
星漢	星漢 🌌
星號	星號 ❇️ *️⃣
星號鍵	星號鍵 *️⃣
時鐘	時鐘 ⏰
時間	時間 ⏰
晴	晴 ☀️
晴天	晴天 ☀️
晴日	晴日 ☀️
晴朗	晴朗 ☀️
智利	智利 🇨🇱
暈	暈 😵‍💫
暈頭轉向	暈頭轉向 💫
暫停播放	暫停播放 ⏸
暴雨	暴雨 🌧
暹羅	暹羅 🇹🇭
曱甴	曱甴 🪳
曲奇	曲奇 🍪
曲棍球	曲棍球 🏑
曲譜	曲譜 🎼
曳曳	曳曳 😜 🤪
更新	更新 🔄
書	書 📚 📖
書包	書包 🎒
書寫	書寫 ✍️
書本	書本 📚 📖
書籍	書籍 📚 📖
書籤	書籤 📑 🔖
月	月 🌕 🌙 🈷️
月亮	月亮 🌝 🌚 🌕 🌙
月兔	月兔 🐇
月牙	月牙 🌙
月餅	月餅 🥮
有	有 🈶
有來信	有來信 📫 📬
有型	有型 😎
有毒	有毒 ☠️
有請	有請 💁🏻‍♀️ 💁🏻‍♂️
有軌電車	有軌電車 🚊
服務犬	服務犬 🐕‍🦺
服務鈴	服務鈴 🛎
朔月	朔月 🌚 🌑
望	望 👀
望下	望下 👀
望月	望月 🌝 🌕
望望	望望 👀
望遠鏡	望遠鏡 🔭
朝	朝 🇰🇵
朝陽	朝陽 🌅 🌄
朝鮮	朝鮮 🇰🇵
木	木 🪵
木柴	木柴 🪵
木頭	木頭 🪵
朱古力	朱古力 🍫
朱古力圈	朱古力圈 🍩
朱咕叻	朱咕叻 🍫
朱咕叻圈	朱咕叻圈 🍩
杯糕	杯糕 🧁
杯茶	杯茶 🍵
東京塔	東京塔 🗼
東帝汶	東帝汶 🇹🇱
東正教	東正教 ☦️
松樹	松樹 🌲
松樹裝飾	松樹裝飾 🎍
松鼠	松鼠 🐿️
板球	板球 🏏
果汁	果汁 🧃
枯萎	枯萎 🥀
枯葉	枯葉 🍂
架撐	架撐 🛠
架生	架生 🛠
柑	柑 🍊
柑子	柑子 🍊
柑桔	柑桔 🍊
柑橘	柑橘 🍊
柬埔寨	柬埔寨 🇰🇭
柴	柴 🪵
柴木	柴木 🪵
栗	栗 🌰
栗子	栗子 🌰
核突	核突 🤢 🤮
格仔餅	格仔餅 🧇
格恩西島	格恩西島 🇬🇬
格林納達	格林納達 🇬🇩
格陵蘭	格陵蘭 🇬🇱
格魯吉亞	格魯吉亞 🇬🇪
桃	桃 🍑
桃子	桃子 🍑
桑拿	桑拿 🧖🏻‍♀️ 🧖🏻‍♂️
桔	桔 🍊
桔子	桔子 🍊
桶	桶 🪣
梅花	梅花 ♣️
梘	梘 🧼
條幅星	條幅星 ❇️
條形圖	條形圖 📊
梨	梨 🍐
梯	梯 🪜
梳	梳 🪮
梳化	梳化 🛋
梵蒂岡	梵蒂岡 🇻🇦
棒棒糖	棒棒糖 🍭
棒球	棒球 ⚾️
棒球帽	棒球帽 🧢
棕	棕 🟫
棕櫚	棕櫚 🌴
棕櫚樹	棕櫚樹 🌴
棕色	棕色 🟤 🟫
棺材	棺材 ⚰️
椒	椒 🌶
椒鹽捲餅	椒鹽捲餅 🥨
椰	椰 🥥
椰子	椰子 🥥
椰菜花	椰菜花 🥦
椰青	椰青 🥥
楓	楓 🍁
楓葉	楓葉 🍁
楓葉國	楓葉國 🇨🇦
槍	槍 🔫
槍械	槍械 🔫
樂譜	樂譜 🎼
標籤	標籤 🏷
標語	標語 🪧
標靶	標靶 🎯
模糊	模糊 🫨
樹	樹 🌳
樹懶	樹懶 🦥
樹木	樹木 🌳
樹熊	樹熊 🐨
樹葉	樹葉 🍃 🍂 🍁
樹袋熊	樹袋熊 🐨
樽	樽 🫙
橄欖	橄欖 🫒
橄欖球	橄欖球 🏈 🏉
橘	橘 🍊
橘子	橘子 🍊
橘貓	橘貓 🐈
橙	橙 🍊 🟧
橙子	橙子 🍊
橙心	橙心 🧡
橙書	橙書 📙
橙色	橙色 🟠 🟧
